id,title,type,time,ingredients,steps
11,pancakes,['śniadanie'],25,"['Mąka pszenna typ 550 - 260 g', 'Mleko 2% - 115 ml', 'Proszek do pieczenia - 8 g', 'Cukier - 12 g', 'Olej rzepakowy - 15 ml', 'Jajko - 1 szt.']","['Do dużej miski przesiej mąkę i proszek do pieczenia. Dodaj jajko, cukier, cukier waniliowy i mleko.', 'Wszystko dokładnie wymieszaj za pomocą rózgi, tak by nie było grudek.', 'Patelnię do smażenia beztłuszczowego porządnie nagrzej, tak by ciasto się nie przyklejało do powierzchni. Dużą łyżką nakładaj porcję ciasta i formuj małe placuszki na patenie. Smaż po 2 minuty z każdej strony, tak by były rumiane, jednak nie przypalone. Podawaj posypane cukrem pudrem i z ulubionymi owocami.']"
12,jajecznica,['śniadanie'],20,"['Jajko - 4 szt.', 'Masło - 10 g', 'Cebula - 50 g', 'Szczypiorek - 45 g']","['Masło rozgrzej na patelni. Dodaj pokrojoną w kostkę cebulę i podsmaż.', 'Jajka wbij do miseczki i dopraw pieprzem i solą.', 'Całość wlej na patelnię i dobrze wymieszaj.', 'Smaż przez chwilę, by białko jajka się ścięło.', 'Gotową jajecznicę posyp szczypiorkiem.']"
13,omlet,"['śniadanie', 'kolacja']",20,"['Jajko - 2 szt.', 'Mleko 2% - 30 ml', 'Oliwa z oliwek - 15 ml']","['Do dużej miski wbij jajka, dodaj mleko i sól.', 'Wszystko wymieszaj dokładnie rózgą, by powstała spójna masa.', 'Na patelni rozgrzej olej i wylej masę jajeczną.', 'Poczekaj aż jajka się zetną i delikatnie odwróć omlet na drugą stronę.', 'Smaż jeszcze 3 minuty i zdejmij z patelni na talerz.', 'Podawaj z ulubionymi dodatkami.']"
14,Omlet na słodko,"['śniadanie', 'kolacja']",20,"['Jajko - 2 szt.', 'Mąka pszenna typ 550 - 20 g', 'Ksylitol (cukier brzozowy) - 20 g', 'Masło - 2 g']","['Białka oddziel od żółtek.', 'Białka ubij mikserem na sztywną pianę.', 'Stopniowo dodawaj żółtka, cały czas miksując na średnich obrotach.', 'Dodawaj przesianą mąkę i ksylitol miksując na wolnych obrotach.', 'Rozgrzej patelnię i rozpuść na niej masło.', 'Wylej masę jajeczną, zmniejsz ogień na średni i smaż omlet ok. 4 minut.', 'Delikatnie przewróć omlet na drugą stronę i smaż 2-3 minuty.', 'Podawaj z ulubionymi owocami i jogurtem.']"
15,omlet na słono,"['śniadanie', 'szybka przekąska', 'II śniadanie']",15,"['Jajko - 2 szt.', 'Szczypiorek - 15 g', 'Mleko 2% - 35 ml', 'Ser gouda - 30 g', 'Szynka wieprzowa - 36 g', 'Olej rzepakowy - 12 ml']","['Szczypiorek posiekaj.', 'Szynkę pokrój w kostkę lub w słupki.', 'Ser żółty zetrzyj na tarce.', 'Jajka wbij do miski i dobrze je roztrzep. Dodaj mleko, szczypiorek, ser żółty oraz sól i pieprz do smaku.', 'Na patelni rozgrzej 1 łyżkę oleju. Dodaj szynkę i podsmażaj do momentu, aż się przyrumieni.', 'Na szynkę wylej masę jajeczną i całość szybko zamieszaj łopatką. Gdy boki omletu będą odchodzić od patelni, a spód będzie rumiany (ok. 3 min), odwróć omlet na drugą stronę i podsmażaj jeszcze ok. 2-3 min.', 'Gotowy omlet wyłóż na talerz i podawaj gorący.']"
16,chlebek bananowy,['deser'],60,"['Banan - 300 g', 'mąka orkiszowa - 250 g', 'Jajko - 5 szt.', 'Olej rzepakowy - 120 ml', 'Proszek do pieczenia - 30 g', 'Kakao 16% (proszek) - 40 g', 'Orzechy włoskie - 120 g', 'Jogurt naturalny 1,5% tłuszczu - 120 g']","['Banany rozgnieć widelcem.', 'Do miski wbij jajka, dodaj banany i zmiksuj.', 'Przesiej mąkę orkiszową, dodaj proszek do pieczenia i kakao, wymieszaj.', 'Posiekaj orzechy włoskie, dodaj do ciasta, wlej olej i dodaj jogurt naturalny, wymieszaj do połączenia składników.', 'Formę do keksa wyłóż papierem do pieczenia i wlej ciasto.', 'Piecz w nagrzanym do 180 stopni C piekarniku przez 45 minut.', 'Chlebek wyjmij z formy i wystudź przed pokrojeniem.']"
17,Gofry,"['śniadanie', 'podwieczorek']",45,"['Mąka pszenna - typ 450 (tortowa) - 270 g', 'Mleko 1,5% - 375 ml', 'Jajko - 3 szt.', 'Cukier - 12 g', 'Olej rzepakowy - 96 ml', 'Proszek do pieczenia - 4 g']","['Rozdziel białka od żółtek.', 'Białka ubij na puszystą pianę. Pod koniec ubijania dodaj cukier.', 'Następnie do białek dodawaj po jednym żółtku i dokładnie zmieszaj.', 'W drugiej misce wymieszaj mleko z mąką, olejem i proszkiem do pieczenia.', 'Do mąki z mlekiem dodawaj małymi partami białka i delikatnie mieszaj szpatułką.', 'Rozgrzej gofrownicę i wykładaj porcję ciasta na blaszki.', 'Zamknij gofrownicę i nie otwieraj przez 4-5 minut. Po tym czasie powinny być odpowiednio złote w gofrownicy o mocy minimum 1300 W. O mniejszej mocy potrzebują więcej czasu.']"
18,kartacze,['obiad'],80,"['Ziemniaki ugotowane - 700 g', 'Ziemniaki średnie - 700 g', 'Mąka pszenna typ 550 - 30 g', 'Mięso mielone wieprzowe - 600 g', 'Cebula - 105 g', 'Czosnek - 15 g']","['Ugotowane ziemniaki przeciśnij przez praskę, a surowe zetrzyj na tarce.', 'Odciśnij wodę od surowych ziemniaków, przez ściereczkę.', 'Wstaw wodę do gotowania kartaczy.', 'Cebulę i czosnek drobno posiekaj i wymieszaj z mięsem mielonym i 0,25 łyżeczki pieprzu i soli.', 'Ziemniaki wymieszaj z mąką, 0,25 łyżeczki soli i pieprzu i formuj owalne placuszki.', 'Na środku placuszka wyłóż trochę mięsa i zawiń ziemniaki, tworząc wałek.', 'Kartacze gotuj około 35 minut.']"
19,Racuchy,"['śniadanie', 'kolacja', 'podwieczorek']",40,"['Mleko 1,5% - 200 ml', 'Mąka pszenna - typ 450 (tortowa) - 140 g', 'Jabłko - 210 g', 'Cukier - 12 g', 'Soda oczyszczona - 5 g', 'Olej rzepakowy - 100 ml', 'Jajko - 1 szt.']","['Do miski wsyp mąkę, dodaj mleko, jajko, cukier i sodę oczyszczoną.', 'Całość dokładnie miksuj przez 10 minut aż będzie gładkie i puszyste.', 'Jabłko obierz, usuń gniazdo nasienne i pokrój w kostkę. Przełóż do ciasta.', 'Rozgrzej patelnie posmarowaną olejem.', 'Na patelnie przełóż porcję ciasta za pomocą łyżki.', 'Smaż na złoty kolor z każdej strony po około 3 minuty.', 'Do podania możesz posypać cukrem pudrem.']"
20,burgery,"['obiad', 'kolacja']",40,"['Mięso mielone wołowe - 500 g', 'Cebula - 100 g', 'Jajko - 1 szt.', 'Oliwa z oliwek - 30 ml']","['Cebulę obierz i pokrój w drobną kostkę.', 'Na patelni rozgrzej oliwę i podsmaż cebulę, by była zarumieniona.', 'Mięso mielone dodaj do miski, dorzuć cebulę i wbij jajko.', 'Masę mięsną dopraw solą, pieprzem, kminkiem, czosnkiem i gałką.', 'Ręką wymieszaj masę i uformuj płaskie kotlety.', 'Patelnię grillową porządnie nagrzej i układaj na niej uformowane kotlety.', 'Smaż po 4 minuty z każdej strony.']"
21,Spaghetti,"['lunch', 'obiad do pracy', 'obiad', 'kolacja']",30,"['Makaron penne - 100 g', 'pomidory w puszce - 250 g', 'Mięso mielone wieprzowo-wołowe - 100 g', 'Cebula - 20 g', 'Czosnek - 5 g', 'Marchewka - 45 g', 'Oliwa z oliwek - 10 ml']","['Cebulę i czosnek drobno posiekaj.', 'Na patelni rozgrzej oliwę i podsmaż cebulę z czosnkiem.', 'Dodaj mięso i podsmażaj.', 'Marchew zetrzyj na tarce i dodaj do mięsa.', 'Zalej sosem pomidorowym i dopraw.', 'Duś pod przykryciem ok. 10 min.', 'Sos podawaj z ugotowanym makaronem al dente.']"
22,zapiekanka,"['lunch', 'obiad', 'kolacja']",65,"['Bagietka francuska - 140 g', 'Ser gouda - 100 g', 'Ketchup - 60 g', 'Pieczarki - 120 g', 'Cebula - 50 g', 'Szynka wieprzowa - 60 g', 'pomidory w puszce - 400 g', 'Przecier pomidorowy bez soli - 240 g', 'Czosnek - 15 g', 'Olej rzepakowy - 48 ml']","['Cebulę obierz i pokrój w kostkę.', 'Ser żółty zetrzyj na tarce.', 'Szynkę pokrój w kostkę.', 'Pieczarki oczyścić i pokrój na mniejsze kawałki.', 'Do garnka wlej 2 łyżki oleju i dodaj przeciśnięty przez praskę czosnek. Po 1 minucie przysmażania dodaj pomidory z puszki, przecier pomidorowy, ½ łyżeczkę soli, 1/3 łyżeczkę pieprzu czarnego mielonego, 1 łyżkę oregano. Wymieszaj i gotuj na małym ogniu z lekko uchyloną pokrywką przez ok. 15 min.', 'Na patelni rozgrzej 2 łyżki oleju. Następnie dodaj cebulę i przysmażaj ją ok. 3-4 min. Następnie dodaj pieczarki. Po ok. 5 minutach dodaj 1/3 łyżeczki czosnku granulowanego oraz sól i pieprz do smaku. Często mieszając, smaż do momentu, aż woda całkiem odparuje.', 'Bagietkę przetnij wzdłuż i kolejno umieść na niej: sos pomidorowy, szynkę, pieczarki z cebulą oraz starty ser.', 'Piekarnik rozgrzej do 185 stopni. Zapiekanki umieść na kratce z piekarnika i piecz je do stopienia sera i zarumienienia bagietki (ok. 10 min).', 'Upieczoną zapiekankę polej ketchupem.']"
23,Bułka drożdżowa z kruszonką,"['lunch', 'kolacja', 'podwieczorek', 'deser', 'II śniadanie']",75,"['Mąka pszenna typ 500 - 400 g', 'Masło - 45 g', 'Mleko 2% - 125 ml', 'drożdże świeże - 20 g', 'Cukier - 70 g', 'Jajko - 1 szt.', 'Żółtko jajka - 1 szt.']","['W garnku roztop 30 g masła i wystudź je.', 'Jajko, mleko i drożdże powinny mieć temperaturę pokojową.', 'W misce umieść pokruszone drożdże. Zalej je ciepłym mlekiem i dodaj 15 g cukru oraz 15 g mąki. Wymieszaj i odstaw w ciepłe miejsce pod przykryciem na 15 minut.', 'Jajko ubij mikserem z 40 g cukru, aż powstanie puszysta masa.', 'W dużej misce umieść 345 g mąki, dodaj roztopione masło, jajko ubite z cukrem, aromat waniliowy, szczyptę soli.', 'Dodaj zaczyn i zacznij miksować mikserem ciasto, aż stanie się gładkie — minimum 5 minut.', 'Ciasto przykryj ściereczką i odstaw ponownie w ciepłe miejsce na 60 minut do rośnięcia.', '15 g masła, 15 g cukru oraz 40 g mąki zagnieć na kruszonkę. Wstaw do lodówki.', 'Gdy ciasto urośnie, do blaszki włóż papier do pieczenia.', 'Ciasto zagnieć przez minutę i wyłóż je do blaszki. Rozprowadź równomiernie.', 'Posmaruj ciasto rozbełtanym żółtkiem i posyp kruszonką.', 'Blaszkę z ciastem ponownie przykryj ściereczką i pozostaw na 10 minut.', 'Nastaw piekarnik na 200 st. C.', 'Po 10 minutach wstaw bułkę do nagrzanego piekarnika i piecz przez 30 minut.']"
24,Chleb z kaszy gryczanej,"['śniadanie', 'lunch', 'kolacja', 'II śniadanie', 'Dodatki']",150,['Kasza gryczana - 500 g'],"['Kaszę gryczaną płuczemy na sitku metalowym pod bieżącą wodą, tak długo, aż będzie leciała czysta.', 'Następnie kaszę przekładamy do miski. Wlewamy do niej 600 ml wody i pozostawiamy ją pod przykryciem na całą dobę. Raz na jakiś czas powinniśmy ją zamieszać. Kasza powinna wchłonąć większą część wody.', 'Na drugi dzień kaszę z pozostałą wodą blendujemy na gładką masę. Powinna być lejąca się.  Masę solimy i ponownie mieszamy.', 'Ciasto przelewamy do keksówki. Masę pozostawiamy w ciepłym miejscu na około 8 godzin.', 'Na koniec pieczemy go w piekarniku około 60 minut w temperaturze 180 st. C.']"
25,tortilla,"['śniadanie', 'lunch', 'obiad do pracy', 'obiad', 'kolacja']",17,"['tortilla pełnoziarnista - 60 g', 'wędzony filet z piersi kurczaka - 50 g', 'Papryka czerwona - 60 g', 'Ogórek - 70 g', 'Pomidor - 60 g', 'Jogurt grecki 0% tłuszczu - 50 ml', 'Rukola - 20 g']","['W miseczce wymieszaj jogurt naturalny z pieprzem, solą, koperkiem i czosnkiem.', 'Warzywa opłucz. Paprykę, pomidora i ogórka pokrój w kostkę.', 'Na placku tortilli wyłóż rukolę, dodaj warzywa. Kurczaka pokrój w sporą kostkę i rozrzuć na środku placka. Całość polej sosem.', 'Brzegi tortilli zwiń do środka a całość zroluj.', 'Zabezpiecz ją folią aluminiową i włóż do nagrzanego do 180 stopni piekarnika.', 'Piecz przez 5-7 minut.']"
26,sałatka z makaronem i kurczakiem,"['lunch', 'obiad do pracy', 'obiad', 'kolacja', 'przystawka']",45,"['Piersi kurczaka bez skóry - 200 g', 'pomidory koktajlowe - 80 g', 'Awokado - 140 g', 'Kukurydza konserwowa - 100 g', 'Oliwa z oliwek - 15 ml', 'Olej rzepakowy - 20 ml', 'Makaron świderki - 150 g', 'Cebula czerwona - 50 g']","['Z kurczaka wytnij błonki oraz żyłki. Pokrój go w kostkę, a następnie obtocz w soli i pieprzu. Usmaż go na rozgrzanej patelni z olejem. Gotowego kurczaka odstaw do ostygnięcia.', 'Makaron ugotuj według wytycznych na opakowaniu, następnie odcedź go i ochłódź zimną wodą.', 'Do miski wrzuć makaron, a następnie dodaj kurczaka.', 'Pomidorki koktajlowe opłucz i przekrój na pół. Dołóż do miski.', 'Czerwoną cebulkę pokrój w piórka. Wrzuć do miski.', 'Awokado obierz i wyjmij pestkę, a następnie pokrój w kostkę. Dodaj do miski.', 'Kukurydzę odcedź z zalewy i dorzuć do reszty składników.', 'Wszystko wymieszaj, obsyp posiekaną natką pietruszki i polej oliwą z oliwek.']"
27,tortilla meksykańska,"['lunch', 'obiad', 'kolacja']",27,"['tortilla pełnoziarnista - 125 g', 'Mięso mielone wieprzowe - 250 g', 'pomidory w puszce - 200 g', 'Fasola czerwona - 100 g', 'Ser gouda - 40 g', 'Papryka czerwona - 240 g', 'Cebula - 100 g', 'Oliwa z oliwek - 30 ml', 'Olej rzepakowy - 15 ml']","['Na patelni rozgrzej oliwę i dodaj drobno posiekaną cebulę.', 'Kiedy cebula będzie już rumiana, dodaj mięso i przypraw solą, pieprzem i ostrą papryką.', 'Wszystko smaż przez 10 minut.', 'Do mięsa dodaj pokrojoną w kostkę paprykę i czerwoną fasolę.', 'Zamieszaj i wlej pomidory. Duś do momentu aż masa zgęstnieje.', 'Przypraw solą, pieprzem, chili, papryką i tymiankiem.', 'Gotowy farsz nakładaj na środek placków i zawiń brzegi środka.', 'Naczynie żaroodporne polej olejem i ułóż w nim tortillę łączeniem do góry. Na łączeniu rozłóż porwany plaster sera.', 'Całość piecz w piekarniku nagrzanym do 180 st. C przez 10-12 minut.']"
28,rolada szpinakowa,"['szybka przekąska', 'przystawka']",45,"['Szpinak mrożony - 300 g', 'Jajko - 3 szt.', 'Łosoś wędzony - 150 g', 'Serek kanapkowy z czosnkiem - 200 g']","['Szpinak rozmroź, podsmaż go na patelni do momentu, aż odparuje nadmiar wody.', 'Białka jaj oddziel od żółtek.', 'Do szpinaku dodaj żółtka, przyprawy i wszystkie składniki dokładnie wymieszaj.', 'Białka ubij ze szczyptą soli na sztywną pianę.', 'Ubite białka połącz z masą szpinakową i dokładnie je wymieszaj.', 'Ciasto szpinakowe wyłóż na blachę piekarnika wyłożoną papierem do pieczenia. Papier do pieczenia możesz posmarować tłuszczem, aby ciasto lepiej od niego odeszło.', 'Tak przygotowane ciasto piec w temperaturze 180°C przez około 20 minut.', 'Upieczone ciasto wyciągnij z piekarnika i pozostaw je do wystudzenia.', 'Ciasto szpinakowe posmaruj serkiem, ułóż na nie łososia wędzonego i zawiń ciasno.', 'Gotował roladę zawiń w folię spożywczą i włóż do lodówki.', 'Rolada smakuje najlepiej po około 2 godzinach.']"
